Type,LegacyUserID,LegacyUnitID,ResultTitle,SelfAssessmentDate,StartDate,EndDate,ExpiryDate,Where,Points,EndorsedDate,EndorsedStatus,Comments,Files
Achievements,102193,41335,Health & Safety Short Course,,25/11/2016,25/11/2016,25/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,106496,41335,Health & Safety Short Course,,24/11/2017,24/11/2017,24/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,106496,41336,Hygiene & Biosecurity Short Course,,23/11/2017,23/11/2017,23/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,106496,41337,Manual Handling Short Course,,24/11/2017,24/11/2017,24/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,106496,41338,Poultry Welfare Short Course,,23/11/2017,23/11/2017,23/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,94403,41335,Health & Safety Short Course,,25/11/2016,25/11/2016,25/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94403,41336,Hygiene & Biosecurity Short Course,,17/06/2016,17/06/2016,17/06/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94403,41337,Manual Handling Short Course,,17/06/2016,17/06/2016,17/06/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94403,41338,Poultry Welfare Short Course,,16/06/2016,16/06/2016,16/06/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94404,41335,Health & Safety Short Course,,25/11/2016,25/11/2016,25/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,95766,41335,Health & Safety Short Course,,24/11/2017,24/11/2017,24/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,95766,41336,Hygiene & Biosecurity Short Course,,17/06/2016,17/06/2016,17/06/2021,Thai Poultry Veterinary Association,,,,,
Achievements,95766,41337,Manual Handling Short Course,,17/06/2016,17/06/2016,17/06/2021,Thai Poultry Veterinary Association,,,,,
Achievements,95766,41338,Poultry Welfare Short Course,,16/06/2016,16/06/2016,16/06/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94405,41335,Health & Safety Short Course,,25/10/2016,25/10/2016,25/10/2021,Thai Poultry Veterinary Association,,,,,
Achievements,95767,41335,Health & Safety Short Course,,25/10/2016,25/10/2016,25/10/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94406,41335,Health & Safety Short Course,,25/10/2016,25/10/2016,25/10/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94407,41335,Health & Safety Short Course,,25/10/2016,25/10/2016,25/10/2021,Thai Poultry Veterinary Association,,,,,
Achievements,95769,41335,Health & Safety Short Course,,25/10/2016,25/10/2016,25/10/2021,Thai Poultry Veterinary Association,,,,,
Achievements,95771,41335,Health & Safety Short Course,,25/10/2016,25/10/2016,25/10/2021,Thai Poultry Veterinary Association,,,,,
Achievements,95771,41336,Hygiene & Biosecurity Short Course,,09/06/2015,09/06/2015,09/06/2020,Thai Poultry Veterinary Association,,,,,
Achievements,95771,41337,Manual Handling Short Course,,09/06/2015,09/06/2015,09/06/2020,Thai Poultry Veterinary Association,,,,,
Achievements,95771,41338,Poultry Welfare Short Course,,10/06/2015,10/06/2015,10/06/2020,Thai Poultry Veterinary Association,,,,,
Achievements,94409,41335,Health & Safety Short Course,,25/10/2016,25/10/2016,25/10/2021,Thai Poultry Veterinary Association,,,,,
Achievements,95772,,First Aid and Health Care,,29/06/2015,29/06/2015,29/06/2020,Thai Red Cross Society,,,,,
Achievements,95772,41335,Health & Safety Short Course,,25/10/2016,25/10/2016,25/10/2021,Thai Poultry Veterinary Association,,,,,
